rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,MLOn
1,1,1,1,3,49.6223,0.000213606,1.43095,54.9206,863665328,1714380856,565226,1121977,1.01926,1.01926,120.997,120.997,120.736,808811,ns3::ThompsonSamplingWifiManager,3,0
1,2,1,1,3,49.4296,0.000212271,1.42694,55.1345,866968864,1714380856,567388,1121977,1.03053,1.03053,121,121,120.44,809628,ns3::ThompsonSamplingWifiManager,3,0
1,3,1,1,3,2.26261,1.20438e-05,0.0736739,106.538,1675591048,1714380856,1096591,1121977,1.00774,1.00774,121,121,13.2072,80790.2,ns3::ThompsonSamplingWifiManager,3,0
1,4,1,1,3,6.09977,2.08588e-05,0.2208,102.359,1609807592,1714380856,1053539,1121977,1.0114,1.0114,121,121,21.9755,232621,ns3::ThompsonSamplingWifiManager,3,0
1,1,1,1,3,48.578,0.000205691,1.38153,56.0596,881568904,1714380856,576943,1121977,1.01714,1.01714,120.994,120.994,118.672,797063,ns3::ThompsonSamplingWifiManager,2,0
1,2,1,1,3,49.7794,0.000214515,1.43871,54.9588,860972992,1714380856,563464,1121977,1.47943,1.47943,121,121,120.871,810664,ns3::ThompsonSamplingWifiManager,2,0
1,3,1,1,3,2.11929,1.17003e-05,0.0716471,106.694,1678048072,1714380856,1098199,1121977,1.00785,1.00785,121,121,12.8493,78682.7,ns3::ThompsonSamplingWifiManager,2,0
1,4,1,1,3,7.4686,2.41761e-05,0.327541,100.867,1586340568,1714380856,1038181,1121977,1.01155,1.01155,121,121,25.0991,340047,ns3::ThompsonSamplingWifiManager,2,0
1,1,1,1,3,49.6223,0.000213606,1.43095,54.9206,863665328,1714380856,565226,1121977,1.01926,1.01926,120.997,120.997,120.736,808811,ns3::ThompsonSamplingWifiManager,3,0
1,2,1,1,3,49.4296,0.000212271,1.42694,55.1345,866968864,1714380856,567388,1121977,1.03053,1.03053,121,121,120.44,809628,ns3::ThompsonSamplingWifiManager,3,0
1,3,1,1,3,2.26261,1.20438e-05,0.0736739,106.538,1675591048,1714380856,1096591,1121977,1.00774,1.00774,121,121,13.2072,80790.2,ns3::ThompsonSamplingWifiManager,3,0
1,4,1,1,3,6.09977,2.08588e-05,0.2208,102.359,1609807592,1714380856,1053539,1121977,1.0114,1.0114,121,121,21.9755,232621,ns3::ThompsonSamplingWifiManager,3,0
1,1,1,1,3,48.578,0.000205691,1.38153,56.0596,881568904,1714380856,576943,1121977,1.01714,1.01714,120.994,120.994,118.672,797063,ns3::ThompsonSamplingWifiManager,2,0
1,2,1,1,3,49.7794,0.000214515,1.43871,54.9588,860972992,1714380856,563464,1121977,1.47943,1.47943,121,121,120.871,810664,ns3::ThompsonSamplingWifiManager,2,0
1,3,1,1,3,2.11929,1.17003e-05,0.0716471,106.694,1678048072,1714380856,1098199,1121977,1.00785,1.00785,121,121,12.8493,78682.7,ns3::ThompsonSamplingWifiManager,2,0
1,4,1,1,3,7.4686,2.41761e-05,0.327541,100.867,1586340568,1714380856,1038181,1121977,1.01155,1.01155,121,121,25.0991,340047,ns3::ThompsonSamplingWifiManager,2,0
1,1,1,1,3,55.9323,0.000277352,1.56016,48.0399,755489040,1714380856,494430,1121977,1.01796,1.01796,121,121,137.131,771390,ns3::ThompsonSamplingWifiManager,6,0
1,2,1,1,3,92.187,0.00170252,3.46704,8.51981,133944480,1714380856,87660,1121977,1.04323,1.04323,120.989,120.989,149.241,303920,ns3::ThompsonSamplingWifiManager,6,0
1,3,1,1,3,57.5392,0.000294886,1.62938,46.3179,727939200,1714380856,476400,1121977,1.09523,1.09523,121,121,140.484,776237,ns3::ThompsonSamplingWifiManager,6,0
1,4,1,1,3,91.2589,0.00170608,3.36763,9.5606,149855544,1714380856,98073,1121977,1.22748,1.22748,120.813,120.813,167.319,330273,ns3::ThompsonSamplingWifiManager,6,0
1,5,1,1,3,19.0691,5.60416e-05,0.966177,88.2185,1387463728,1714380856,908026,1121977,1.00803,1.00803,121,121,50.8872,877314,ns3::ThompsonSamplingWifiManager,6,0
1,6,1,1,3,82.7474,0.000981628,2.73805,18.8107,295774960,1714380856,193570,1121977,1.03016,1.03016,120.993,120.993,190.013,530004,ns3::ThompsonSamplingWifiManager,6,0
1,7,1,1,3,13.5913,3.98631e-05,0.851101,94.1927,1481374608,1714380856,969486,1121977,1.01198,1.01198,121,121,38.6467,825130,ns3::ThompsonSamplingWifiManager,6,0
1,8,1,1,3,93.7,0.00194534,3.30795,6.88506,108005152,1714380856,70684,1121977,1.1713,1.1713,120.853,120.853,137.503,233819,ns3::ThompsonSamplingWifiManager,6,0
